subset_size,basis,n,r2_mean,r2_std,r2_min,r2_max
128,constant,5,0.0,0.0,0.0,0.0
128,dct_top13,5,0.8927719950675964,0.014814369412012736,0.871113657951355,0.9161853790283203
128,dct_top73,5,0.998709523677826,0.00014148207068523567,0.9984828233718872,0.998896062374115
128,fft_top6_J0,5,0.7580955386161804,0.02017337295193548,0.7373092174530029,0.7967559099197388
128,fft_top6_J1,5,0.8316027998924256,0.01799719808668399,0.8162544965744019,0.8665783405303955
128,fft_top6_J2,5,0.8927769064903259,0.014427320036252063,0.8791775703430176,0.9206355214118958
128,fft_top6_J2_coord_shuffle,5,-0.04050930738449097,0.09957150625935368,-0.23457980155944824,0.02459406852722168
192,constant,5,3.5762786865234374e-08,4.7683715820312496e-08,0.0,1.1920928955078125e-07
192,dct_top13,5,0.8881379842758179,0.011840095945413708,0.8682689070701599,0.898444414138794
192,dct_top73,5,0.9987177848815918,0.0001402957461202441,0.9985361099243164,0.998853862285614
192,fft_top6_J0,5,0.7532350897789002,0.012964738582035866,0.7378172874450684,0.7693132758140564
192,fft_top6_J1,5,0.8267419099807739,0.010477804078459642,0.8126858472824097,0.8415071964263916
192,fft_top6_J2,5,0.8891808032989502,0.00797565337755008,0.8799472451210022,0.9001873731613159
192,fft_top6_J2_coord_shuffle,5,-0.026596570014953615,0.11211058915403406,-0.2507094144821167,0.033346354961395264
256,constant,1,0.0,0.0,0.0,0.0
256,dct_top13,1,0.8968049883842468,0.0,0.8968049883842468,0.8968049883842468
256,dct_top73,1,0.9988278746604919,0.0,0.9988278746604919,0.9988278746604919
256,fft_top6_J0,1,0.7629889845848083,0.0,0.7629889845848083,0.7629889845848083
256,fft_top6_J1,1,0.8335948586463928,0.0,0.8335948586463928,0.8335948586463928
256,fft_top6_J2,1,0.8939049243927002,0.0,0.8939049243927002,0.8939049243927002
256,fft_top6_J2_coord_shuffle,1,0.023805737495422363,0.0,0.023805737495422363,0.023805737495422363
