dataset,family,basis,steps,train_radial_visible_radius,n,final,visible,full_minus_visible,radial_band_6_9,energy_r_le_4,energy_r_6_9,far_to_near_energy,radial_energy_centroid,boundary_pollution,local_geometry_score
tiny-imagenet,DCT,dct_top110,10000,-1,3,0.861306,0.863352,-0.002045,0.270989,0.886966,0.061691,0.083715,2.194736,0.002045,0.638566
tiny-imagenet,Toric/PJ,table_informed_toric_PJ_R0_top220,10000,-1,3,0.825463,0.862592,-0.037129,0.120021,0.147736,0.641723,6.006205,6.365944,0.037129,0.108764
tiny-imagenet,Mixed hard r4,mixed_toric_PJ_R0_top220_residual_dct_top32,10000,4,3,0.844904,0.865806,-0.020903,0.256508,0.778409,0.133213,0.231030,2.464505,0.020903,0.542886
stl10,DCT,dct_top110,2000,-1,1,-0.299521,0.801724,-1.101245,-0.735901,0.112993,0.578834,87.700081,7.405075,1.101245,0.087131
stl10,Mixed naive,mixed_toric_PJ_R0_top220_residual_dct_top32,2000,-1,1,-0.043786,0.809117,-0.852903,-0.707943,0.180164,0.729822,55.025623,6.542349,0.852903,0.136151
stl10,Mixed hard r4,mixed_toric_PJ_R0_top220_residual_dct_top32,10000,4,3,0.781896,0.819012,-0.037116,0.144171,0.785778,0.139087,0.239464,2.427602,0.037116,0.535688
cifar100,DCT,dct_top110,10000,-1,3,0.879899,0.881072,-0.001173,0.315200,0.889734,0.060201,0.072400,2.146394,0.001173,0.623054
cifar100,Toric/PJ,table_informed_toric_PJ_R0_top220,10000,-1,3,0.849689,0.878228,-0.028538,0.165795,0.157180,0.632550,6.755287,6.317924,0.028538,0.114871
cifar100,Mixed naive,mixed_toric_PJ_R0_top220_residual_dct_top32,10000,-1,3,0.881323,0.884120,-0.002796,0.308548,0.610003,0.295956,0.874885,3.865931,0.002796,0.431070
cifar10,Toric/PJ,table_informed_toric_PJ_R0_top110,30000,-1,3,0.752187,0.855079,-0.102892,-0.100764,0.313773,0.495455,4.985381,5.824027,0.102892,0.200818
cifar10,Mixed naive,mixed_toric_PJ_R0_top220_residual_dct_top32,10000,-1,3,0.848256,0.857559,-0.009302,0.190523,0.616393,0.271755,0.610715,3.787791,0.009302,0.442010
svhn,DCT,dct_top110,10000,-1,3,0.941191,0.971388,-0.030197,0.589144,0.567173,0.257307,1.990574,4.362320,0.030197,0.422914
svhn,Toric/PJ,table_informed_toric_PJ_R0_top220,10000,-1,3,0.554357,0.970405,-0.416048,0.295356,0.050884,0.868022,96.323428,7.131904,0.416048,0.048652
svhn,Mixed naive,mixed_toric_PJ_R0_top220_residual_dct_top32,10000,-1,3,0.961833,0.975649,-0.013817,0.564991,0.629624,0.308666,2.696220,3.643339,0.013817,0.463862
